Serial,file,document_type,title,theme,year,link,Summary
709,709_document.pdf,Case study,Pursuing deforestation-free palm oil through landscape partnerships,Regenerative Landscapes,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/709_document.pdf,"Golden Agri-Resources leads palm oil production while implementing a no-deforestation High Carbon Stock Approach in Kapuas Hulu, engaging villages, local councils, and NGOs through a Participative Conservation Planning tool. The partnership secures land tenure, provides livelihood training, and promotes sustainable practices, aligning with FPIC guidelines and SDG targets by 2030."
710,710_document.pdf,Summary,Implementing human rights due diligence in times of changing expectations,Human Rights,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/710_document.pdf,"The event on October 1, 2020, implementing human rights due diligence amid expectations. Speakers highlighted UNGPs, emerging voluntary and binding frameworks, EU and Swiss legislative drafts, and the need for risk assessments across supply chains. Panelists stressed visibility tools, industry initiatives, and collaboration to embed human rights in core operations."
711,711_document.pdf,Book,The Little Sustainable Landscapes Book,Sustainable Landscapes,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/711_document.pdf,"Integrated landscape management is presented as a holistic approach to reconcile economic, social, and environmental goals, drawing on partnerships among governments, NGOs, businesses, and communities. The book outlines key elements, governance, market, and finance catalysts, and offers case studies from Africa, Madagascar, regions to illustrate implementation and alignment with SDGs."
712,712_document.pdf,Report,Vision 2050: The New Agenda for Companies â€“ Summary,Sustainable Development,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/712_document.pdf,"Vision 2050 presents a shared agenda for companies, outlining a sustainable future by 2050 where 9 billion people thrive within limited resources. It details a development path, scenarios, and opportunities, urging businesses, governments, and civil society to collaborate, innovate, and adopt systemic change to achieve climate resilience, resource efficiency, and equitable prosperity."
713,713_document.pdf,Report,Guidance on Use of Sectoral Pathways for Financial Institutions,Sustainable Finance,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/713_document.pdf,"GFANZ provides guidance for financial institutions to use sectoral pathways in netâ€‘zero transition plans, portfolio alignment, and client engagement. The report outlines a pathway framework with scope, assumptions, and credibility pillars, compares global 1.5 Â°C pathways, identifies limitations, and urges institutions to refine, validate, partner in pathway development for scienceâ€‘aligned action."
714,714_document.pdf,Guide,A Corporate Accounting and Reporting Standard   The Greenhouse Gas Protocol â€” Revised Edition,Reporting & Disclosure,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/714_document.pdf,"The revised GHG Protocol Corporate Accounting and Reporting Standard offers a stakeholderâ€‘driven framework for businesses to quantify, report, and manage greenhouse gas emissions. It details principles, inventory boundaries, scope definitions, and guidance for target setting, quality assurance, and integration with voluntary and mandatory programs, enhancing transparency and consistency across sectors."
715,715_document.pdf,Standards Document,A Corporate Accounting and Reporting Standard Revised Edition,Reporting & Disclosure,2001,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/715_document.pdf,"The revised GHG Protocol Corporate Accounting and Reporting Standard provides a stepâ€‘byâ€‘step guide for companies to quantify and report greenhouse gas emissions, incorporating principles of relevance, completeness, consistency, transparency, and accuracy. It includes new chapters on target setting, indirect emissions, and project reductions, and aligns with GHG programs global worldwide."
716,716_document.pdf,Guide,The Greenhouse Gas Protocol: The GHG Protocol for Project Accounting,Decarbonisation,2000,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/716_document.pdf,"Greenhouse Gas Protocol for Project Accounting outlines principles, concepts, and methods to quantify and report GHG reductions from mitigation projects, providing a transparent framework for developers, administrators, and verifiers. It includes background, key concepts, policy aspects, accounting principles, baseline selection, monitoring, reporting, and annexes, while encouraging flexibility and stakeholder consultation"
717,717_document.pdf,Report,Cement Industry Energy and CO2 Performance   Getting the Numbers Right (GNR),Decarbonisation,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/717_document.pdf,"The Cement Sustainability Initiativeâ€™s Getting the Numbers Right database aggregates COâ‚‚ and energy data from cement plants, enabling benchmarking, policy analysis, and emission reduction roadmaps. It standardizes reporting through the Cement COâ‚‚ and Energy Protocol, ensures confidentiality, and supports industry members, governments, and NGOs tracking progress toward Paris Agreement goals."
718,718_document.pdf,Brochure,GAMIFICATION SUSTAINABLE CORPORATE MOBILITY USE CASES DESCRIPTION,Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/718_document.pdf,"Gamification enhances corporate mobility by adding game elements like points, badges, leaderboards, and rewards to encourage sustainable transport choices. It boosts awareness, health, reduces emissions, and improves employee retention. Challenges include low participation, mitigated by communication and culture integration. Success measured via engagement metrics and behavioral shifts and 24% reduction"
719,719_document.pdf,Guide,Getting started with adoption of the TNFD recommendations Version 1.0,Nature,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/719_document.pdf,"TNFD guidance explains how organisations can adopt natureâ€‘related reporting, offering a LEAP methodology, key disclosure pillars, and practical steps. It aligns with global frameworks, cites pilot testimonials, and surveys show many firms expect to disclose by 2025â€‘2026. The document details governance, strategy, risk management, metrics, and integration with climate reporting."
720,720_document.pdf,Summary,Global Biodiversity Outlook Report 5 - summary brief for business,Biodiversity,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/720_document.pdf,"The Global Biodiversity Outlook Report 5 warns that all 20 Aichi targets remain unmet, highlighting progress in protected areas, fisheries, and national accounting, yet noting worsening trends. It urges urgent nature restoration, climate mitigation, and business engagement through WBCSD, calling for innovation, finance, and policy reforms to achieve 2050 sustainability goals."
721,721_document.pdf,Report,2019 GLOBAL SUSTAINABILITY REPORT,Health & Safety,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/721_document.pdf,"Abbottâ€™s 2019 Global Sustainability Report outlines corporate governance, business segments, and sustainability initiatives, including COVIDâ€‘19 testing, environmental stewardship, supplyâ€‘chain resilience, and community outreach. It details board composition, diversity, and committees, highlights financial performance, and presents a 2030 sustainability plan focused on health equity, climate risk management, and responsible growth today."
722,722_document.pdf,Report,Global trends in climate change litigation: 2025 snapshot,Climate,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/722_document.pdf,"Global climate litigation has matured, with 2,967 cases filed worldwide by 2024, largely strategic. The United States leads filings, while the Global South shows rapid growth. Cases target governments, corporations, and ESG policies, with emerging nonâ€‘aligned suits challenging climate action. Outcomes influence governance, legislation, and financial risk, shaping climate policy."
723,723_document.pdf,Report,ADAPT NOW: A GLOBAL CALL FOR LEADERSHIP ON CLIMATE RESILIENCE,Adaptation & Resilience,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/723_document.pdf,"The Global Commission on Adaptation, led by Ban Kiâ€‘Moon, Bill Gates, and Kristalina Georgieva, calls for urgent climate resilience. It outlines adaptation strategies across food security, water, cities, infrastructure, disaster risk, and finance, urging political leadership, investment, and innovation to protect vulnerable communities, preserve nature, and unlock economic benefits today."
724,724_document.pdf,Report,Global Hydrogen Review 2024,Energy,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/724_document.pdf,"Global Hydrogen Review 2024 tracks worldwide hydrogen production, demand, infrastructure, trade, policy, investment, and innovation, highlighting lowâ€‘emissions projects, especially in Latin America. It reports 97 Mt demand in 2023, mainly from fossil fuels, with electrolysis growing to 520 GW announced capacity, and emphasizes regulatory, financing, and demandâ€‘signal challenges for future deployment strategies"
725,725_document.pdf,Brochure,GLOBAL NETWORK Global-local linkages catalyzing business solutions for a sustainable world,Sustainable Development,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/725_document.pdf,"Global Network of WBCSD unites over 60 CEOâ€‘led business organizations and 5,000 companies worldwide, promoting sustainable development locally and globally. Members share experiences, access global platforms, and collaborate on best practices, enhancing local initiatives, advocacy, and supplyâ€‘chain solutions. The network strengthens WBCSDâ€™s legitimacy, outreach, and partnership synergies for business leaders."
